codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
RMMM8E6011,RMIC8E600X,statale,SMS VIA V. PONTI,SCUOLA PRIMO GRADO,VIA VITALIANO PONTI 30,00169,H501,Roma,12.577955,41.869131,osm_plesso,0580913616,,way/1330382912,124,32,2,30,25.8,,,
RMEE8B8052,RMIC8B800Q,statale,GIGI PROIETTI,SCUOLA PRIMARIA,VIA PORTUENSE 745,00148,H501,Roma,12.426104,41.849944,osm_plesso,0580910598,,way/36859584,232,50,8,42,21.6,,,
RMPS19000T,RMPS19000T,statale,LICEO SCIENTIFICO KEPLERO,LICEO SCIENTIFICO,VIA SILVESTRO GHERARDI N.87/89,00146,H501,Roma,12.422534,41.843498,osm_plesso,0580911814,,way/429246965,907,104,24,80,11.5,LICEO,1,
RMEE82402G,RMIC82400C,statale,TOTI,SCUOLA PRIMARIA,VIA DEL PIGNETO 104,00176,H501,Roma,12.52819,41.8886,fgb_civico,0580911251,2512671,,412,55,3,52,13.3,,,
RMRI03601E,RMIS03600V,statale,A. DIAZ,IST PROF INDUSTRIA E ARTIGIANATO,VIA ACIREALE 8,00182,H501,Roma,12.52,41.887778,civico,0580910337,,,144,24,3,21,16.7,PROFESSIONALE,1,
RMEE81003P,RMIC81000E,statale,VIA PIETRALATA 319,SCUOLA PRIMARIA,VIA PIETRALATA 319,00158,H501,Roma,12.54803,41.92177,fgb_cognome,0580910413,2631117,,191,23,7,16,12,,,
RMTD11801C,RMIS118006,statale,TECNICO - LUIGI EINAUDI,ISTITUTO TECNICO COMMERCIALE,VIA SANTA MARIA ALLE FORNACI 1,00165,H501,Roma,12.455185,41.898015,civico,,,,838,171,31,140,20.4,TECNICO,1,
RMAA8EW02T,RMIC8EW00X,statale,VIA R. BALZANI,SCUOLA INFANZIA,VIA R. BALZANI55,00176,H501,Roma,12.55447,41.87983,fgb_cognome,0580910525,983761,,,,,,,,,
RMMM834014,RMIC834003,statale,FANELLI,SCUOLA PRIMO GRADO,VIA P. DUCATI,00119,H501,Roma,12.30262,41.761887,civico,,,,355,15,6,9,4.2,,,
RMPC12000C,RMPC12000C,statale,GIULIO CESARE,LICEO CLASSICO,CORSO TRIESTE 48,00198,H501,Roma,12.507236,41.918607,fgb_civico,0580911357,220129,,1013,13,1,12,1.3,LICEO,1,
RMAA8AG038,RMIC8AG009,statale,VIA CONCESIO,SCUOLA INFANZIA,VIA CONCESIO,00188,H501,Roma,12.486,42.00221,fgb_civico,0580910416,2529877,,,,,,,,,
RMEE8B802V,RMIC8B800Q,statale,COLLODI,SCUOLA PRIMARIA,VIA MASSA MARITTIMA 1,00148,H501,Roma,12.437745,41.842582,osm_plesso,0580910504,,way/815703353,98,39,8,31,39.8,,,
RMEE819024,RMIC819001,statale,PESTALOZZI,SCUOLA PRIMARIA,VIA MONTEBELLO 120,00185,H501,Roma,12.503227,41.90773,civico,0580911429,,,12,3,0,3,25,,,pochi_alunni
RMEE8FJ02E,RMIC8FJ00B,statale,GERONIMO STILTON,SCUOLA PRIMARIA,LARGO F. BIGNOTTI 11,00127,H501,Roma,12.426516,41.80201,civico,0580910148,,,344,1,1,0,0.3,,,
RMPS180007,RMPS180007,statale,"L.S.S. ""J. F. KENNEDY""",LICEO SCIENTIFICO,VIA NICOLA FABRIZI 7,00153,H501,Roma,12.465673,41.886521,fgb_civico,0580911419,23368,,743,32,7,25,4.3,LICEO,1,
RMMM82401D,RMIC82400C,statale,VIA DE MAGISTRIS,SCUOLA PRIMO GRADO,VIA DEL PIGNETO 301,00176,H501,Roma,12.53681,41.88601,fgb_civico,0580910487,983766,,348,60,8,52,17.2,,,
RMMM8G801T,RMIC8G800R,statale,PIERO ANGELA,SCUOLA PRIMO GRADO,VIA RATTO DELLE SABINE 3,00131,H501,Roma,12.602126,41.946019,fgb_civico,0580910425,975951,,241,12,3,9,5,,,
RMAA8FA018,RMIC8FA00B,statale,INFANZIA EX P.M.KOLBE,SCUOLA INFANZIA,VIA CAMPOFIORITO 164,00132,H501,Roma,12.6958,41.86477,fgb_civico,0580910609,2639968,,,,,,,,,
RMRC03601T,RMIS03600V,statale,MONETA,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,VIA DIANA 35,00175,H501,Roma,12.547818,41.867501,fgb_civico,0580911473,967742,,108,8,3,5,7.4,PROFESSIONALE,1,
RMEE8GG013,RMIC8GG001,statale,DON F. RINALDI,SCUOLA PRIMARIA,VIA LEMONIA 226,00174,H501,Roma,12.55996,41.85144,fgb_civico,0580910474,2631915,,480,23,4,19,4.8,,,
RMRC121011,RMIS121002,statale,V. WOOLF,IST PROF PER I SERVIZI COMMERCIALI,CIRC/NE CASILINA 119,00176,H501,Roma,12.522291,41.888703,civico,0580913154,,,263,34,7,27,12.9,TECNICO,0.56,
RMAA8EU015,RMIC8EU008,statale,VIA ANAGNI,SCUOLA INFANZIA,VIA ANAGNI,00171,H501,Roma,12.55647,41.89002,fgb_civico,0580910324,2632187,,,,,,,,,
RMRC118015,RMIS118006,statale,PROFESSIONALE - LUIGI EINAUDI,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI,VIA S.MARIA ALLE FORNACI 1,00165,H501,Roma,12.455185,41.898015,civico,0580911466,,,267,36,10,26,13.5,PROFESSIONALE,1,
RMAA8GG02V,RMIC8GG001,statale,MONTESSORI - VIA LEMONIA,SCUOLA INFANZIA,VIA LEMONIA 242,00174,H501,Roma,12.5618,41.84953,fgb_civico,0580910475,2631904,,,,,,,,,
